studentFullName,studentAdm,email,guardianName,phoneNumber,gender,className
Student 60,ADM-060,student60@example.com,Guardian 60,0712345737,FEMALE,1 north
Student 61,ADM-061,student61@example.com,Guardian 61,0712345738,MALE,1 north
Student 62,ADM-062,student62@example.com,Guardian 62,0712345739,FEMALE,1 north
Student 63,ADM-063,student63@example.com,Guardian 63,0712345740,MALE,1 north
Student 64,ADM-064,student64@example.com,Guardian 64,0712345741,FEMALE,1 north
Student 65,ADM-065,student65@example.com,Guardian 65,0712345742,MALE,1 north
Student 66,ADM-066,student66@example.com,Guardian 66,0712345743,FEMALE,1 north
Student 67,ADM-067,student67@example.com,Guardian 67,0712345744,MALE,1 north
Student 68,ADM-068,student68@example.com,Guardian 68,0712345745,FEMALE,1 north
Student 69,ADM-069,student69@example.com,Guardian 69,0712345746,MALE,1 north
Student 70,ADM-070,student70@example.com,Guardian 70,0712345747,FEMALE,1 north
Student 71,ADM-071,student71@example.com,Guardian 71,0712345748,MALE,1 north
Student 72,ADM-072,student72@example.com,Guardian 72,0712345749,FEMALE,1 north
Student 73,ADM-073,student73@example.com,Guardian 73,0712345750,MALE,1 north
Student 74,ADM-074,student74@example.com,Guardian 74,0712345751,FEMALE,1 north
Student 75,ADM-075,student75@example.com,Guardian 75,0712345752,MALE,1 north
Student 76,ADM-076,student76@example.com,Guardian 76,0712345753,FEMALE,1 north
Student 77,ADM-077,student77@example.com,Guardian 77,0712345754,MALE,1 north
Student 78,ADM-078,student78@example.com,Guardian 78,0712345755,FEMALE,1 north
Student 79,ADM-079,student79@example.com,Guardian 79,0712345756,MALE,1 north
Student 80,ADM-080,student80@example.com,Guardian 80,0712345757,FEMALE,1 north
Student 81,ADM-081,student81@example.com,Guardian 81,0712345758,MALE,1 north
Student 82,ADM-082,student82@example.com,Guardian 82,0712345759,FEMALE,1 north
Student 83,ADM-083,student83@example.com,Guardian 83,0712345760,MALE,1 north
Student 84,ADM-084,student84@example.com,Guardian 84,0712345761,FEMALE,1 north
Student 85,ADM-085,student85@example.com,Guardian 85,0712345762,MALE,1 north
Student 86,ADM-086,student86@example.com,Guardian 86,0712345763,FEMALE,1 north
Student 87,ADM-087,student87@example.com,Guardian 87,0712345764,MALE,1 north
Student 88,ADM-088,student88@example.com,Guardian 88,0712345765,FEMALE,1 north
Student 89,ADM-089,student89@example.com,Guardian 89,0712345766,MALE,1 north
Student 90,ADM-090,student90@example.com,Guardian 90,0712345767,FEMALE,1 north
Student 91,ADM-091,student91@example.com,Guardian 91,0712345768,MALE,1 north
Student 92,ADM-092,student92@example.com,Guardian 92,0712345769,FEMALE,1 north
Student 93,ADM-093,student93@example.com,Guardian 93,0712345770,MALE,1 north
Student 94,ADM-094,student94@example.com,Guardian 94,0712345771,FEMALE,1 north
Student 95,ADM-095,student95@example.com,Guardian 95,0712345772,MALE,1 north
Student 96,ADM-096,student96@example.com,Guardian 96,0712345773,FEMALE,1 north
Student 97,ADM-097,student97@example.com,Guardian 97,0712345774,MALE,1 north
Student 98,ADM-098,student98@example.com,Guardian 98,0712345775,FEMALE,1 north
Student 99,ADM-099,student99@example.com,Guardian 99,0712345776,MALE,1 north
Student 100,ADM-100,student100@example.com,Guardian 100,0712345777,FEMALE,1 north
